x,y,z,_,_,_,u,v,w,p,q,r
0.5856755211796064,0.3365083753583656,0.49545640086513765,0.9996884901972555,-0.015226267620408674,0.019761702483232578,-0.000747299436433642,0.35574828058420904,0.36455056112686823,-0.015801992792348264,0.48867635855521513,-0.297619290866306,0.0048093682373163485
0.5892520074155734,0.34016807462588006,0.4953003111752543,0.9997506191259978,-0.012793109440446346,0.018288621542189416,-0.0007498200553408027,0.3595005449005938,0.36730940798726924,-0.015411862249403975,0.48512376390612033,-0.29117877483563676,0.004459317432591838
0.5928645733301899,0.34385297143598714,0.49514821483470195,0.9998038797105357,-0.010380918298408417,0.016848442119007326,-0.0007540883269722864,0.36296528962941754,0.369590748090525,-0.01500390559649754,0.48024912786652896,-0.2843943777400361,0.004123218826108969
0.5965103764702706,0.34755831330755277,0.4950002700888307,0.9998484916976723,-0.00799609356813324,0.01544275576281749,-0.0007598894587511388,0.36614911698737995,0.3713993119345023,-0.01458211160247421,0.474143309122461,-0.2773278001880758,0.0038028861671350984
0.6001866419426297,0.3512794013410598,0.49485659622461037,0.9998847458537481,-0.005644583590503519,0.014072859406702774,-0.0007670157721672213,0.3690589270224543,0.37274107029567016,-0.014150278480363083,0.46689576300924823,-0.2700347506024366,0.003499762425368024
0.6038906651048923,0.35501160216439553,0.49471727559363293,0.9999129938919957,-0.00333189280787386,0.012739783953276622,-0.0007752683965123043,0.3717018610343152,0.37362314302448485,-0.013711991064813184,0.4585943240866626,-0.2625653804200383,0.0032149508961895716
0.6076198137179125,0.3587503589733486,0.49458235584553734,0.9999336387911061,-0.0010630898464975716,0.011444320804298875,-0.0007844585933568867,0.37408525041180846,0.37405370923431686,-0.013270601524664048,0.44932507523465265,-0.254964699116099,0.0029492460889212644
0.6113715296116297,0.3624912016819575,0.494451852317476,0.9999471255651735,0.001157183271168176,0.010187046459271355,-0.0007944087490912852,0.37621657042481815,0.374041919133298,-0.012829217412469882,0.43917205665796827,-0.24727295686098008,0.0027031619919849737
0.6151433299130505,0.36622975620107945,0.49432575054006667,0.999953932538616,0.0033247007655804986,0.008968345217258412,-0.0008049530673791812,0.3781033987972875,0.3735978078814944,-0.012390690284522776,0.4282171260573703,-0.23952604312567422,0.0024769627402742617
0.6189328078818318,0.3699617528663771,0.49420400883686916,0.9999545631661962,0.005435642197497364,0.007788430020043328,-0.0008159380032942786,0.3797533785965298,0.3727322116439585,-0.011957608339593962,0.4165399084398896,-0.2317558511385955,0.0022706888098252033
0.6227376333946798,0.3736830340387748,0.4940865609581968,0.9999495384243919,0.007486580724443726,0.006647361647663132,-0.0008272224774146279,0.3811741850575446,0.37145668606971466,-0.011532296875372735,0.40421753424984747,-0.22399058945730152,0.002084181765648888
0.6265555531174062,0.37738956090249576,0.49397331872721445,0.9999393897952137,0.009474470704131611,0.0055450662972807,-0.0008386778947665483,0.38237349623646905,0.36978342735189035,-0.011116815335102889,0.39132466170508634,-0.21625513136609625,0.0019171109945771041
0.6303843904004379,0.3810774194871877,0.49386417468760213,0.9999246528533866,0.01139663479122301,0.004481351564640062,-0.0008501879933073417,0.38335896699858296,0.367725196008769,-0.010712959907679743,0.3779332707130766,-0.20857131620773925,0.0017689983510808735
0.6342220449299295,0.3847428259422514,0.49375900470742834,0.9999058614571064,0.013250750740651547,0.003455921045137178,-0.0008616485715476536,0.3841382061071891,0.3652952435575099,-0.010322269645344911,0.3641127676710517,-0.20095820966247113,0.0016392328213103034
0.6380664921642679,0.3883821310925062,0.4936576705072494,0.9998835425415388,0.015034837727402281,0.00246838763779351,-0.0008729671031287127,0.38471875617214457,0.36250724212664454,-0.009946035460543307,0.3499297004508407,-0.19343236968652128,0.0015270985769453601
0.641915782583422,0.39199182430481516,0.49356002210650796,0.9998582115103348,0.01674724210891136,0.001518285557706182,-0.0008840622518969799,0.3851080762273576,0.35937521705331776,-0.009585307429509752,0.33544783090603425,-0.18600810263966272,0.0014317904617000457
